(200, 0.1037718985980861)
(400, 0.08984340288102638)
(600, 0.08377639183398244)
(800, 0.08403950219660104)
(1000, 0.08480493219710099)
(1200, 0.08279107124756155)
(1400, 0.079377048605951)
(1600, 0.0789797468464371)
(1800, 0.08437383492148426)
(2000, 0.07861724062170553)
(2200, 0.07918356126414511)
(2400, 0.07676902174536593)
(2600, 0.07550976444343528)
(2800, 0.0804415698125884)
(3000, 0.07688461932363745)
(3200, 0.07602995886351215)
(3400, 0.07305510318038756)
(3600, 0.0737593172087904)
(3800, 0.07262070381920757)
(4000, 0.07421112170557287)
(4200, 0.07403880653990161)
(4400, 0.07438232955754837)
(4600, 0.06933003555612152)
(4800, 0.0695761285482536)
(5000, 0.07123222302846033)
(5200, 0.07145293073367773)
(5400, 0.06971646119356205)
(5600, 0.0702111253772578)
(5800, 0.0722197304064444)
(6000, 0.0679999950391859)
(6200, 0.06873798887242881)
(6400, 0.07025752412078162)
(6600, 0.06874670723216517)
(6800, 0.06976378768215383)
(7000, 0.0682110111308038)
(7200, 0.06883075951726547)
(7400, 0.07113211691492174)
(7600, 0.06989148208778798)
(7800, 0.06974203373400971)
(8000, 0.06993392220060905)
(8200, 0.06896651333582371)
(8400, 0.06906060228815347)
(8600, 0.06747451308299024)
(8800, 0.0687326147771752)
(9000, 0.06648959092961915)
